Title,Cleaned_Content,Publication_Date,Source_URL,Category
"Some on-air claims about Dominion Voting Systems were false, Fox News acknowledges in statement after deal is announced",,"Wed, 19 Apr 2023 12:44:51 GMT",https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/index.html,Others
Dominion still has pending lawsuits against election deniers such as Rudy Giuliani and Sidney Powell,,,https://www.cnn.com/business/live-news/fox-news-dominion-trial-04-18-23/h_8d51e3ae2714edaa0dace837305d03b8,Others
Here are the 20 specific Fox broadcasts and tweets Dominion says were defamatory,"• Fox-Dominion trial delay 'is not unusual,' judge says • Fox News' defamation battle isn't stopping Trump's election lies","Mon, 17 Apr 2023 16:01:11 GMT",https://www.cnn.com/2023/04/17/media/dominion-fox-news-allegations/index.html,Others
Judge in Fox News-Dominion defamation trial: 'The parties have resolved their case',The judge just announced in court that a settlement has been reached in the historic defamation case between Fox News and Dominion Voting Systems.,"Wed, 19 Apr 2023 08:28:17 GMT",https://www.cnn.com/2023/04/18/media/fox-dominion-settlement/index.html,Others
'Difficult to say with a straight face': Tapper reacts to Fox News' statement on settlement,"A settlement has been reached in Dominion Voting Systems' defamation case against Fox News, the judge for the case announced. The network will pay more than $787 million to Dominion, a lawyer for the company said.","Tue, 18 Apr 2023 21:17:44 GMT",https://www.cnn.com/videos/politics/2023/04/18/jake-tapper-dominion-lawsuit-settlement-fox-news-statement-lead-vpx.cnn,Others
Millions in the US could face massive consequences unless McCarthy can navigate out of a debt trap he set for Biden,"• DeSantis goes to Washington, a place he once despised, looking for support to take on Trump • Opinion: For the GOP to win, it must ditch Trump • Chris Christie mulling 2024 White House bid • Analysis: The fire next time has begun burning in Tennessee","Tue, 18 Apr 2023 20:34:45 GMT",https://www.cnn.com/2023/04/18/politics/mccarthy-biden-debt-ceiling/index.html,Others
White homeowner accused of shooting a Black teen who rang his doorbell turns himself in to face criminal charges,"• 'A major part of Ralph died': Aunt of teen shot after ringing wrong doorbell speaks • 20-year-old woman shot after friend turned into the wrong driveway in upstate New York, officials say","Wed, 19 Apr 2023 04:29:05 GMT",https://www.cnn.com/2023/04/18/us/kansas-city-ralph-yarl-shooting-tuesday/index.html,Others
Newly released video shows scene of Jeremy Renner's snowplow accident,"Newly released body camera footage shows firefighters and sheriff's deputies rushing to help actor Jeremy Renner after a near-fatal snowplow accident in January. The ""Avengers"" actor broke more than 30 bones and suffered other severe injuries. CNN's Chloe Melas has more.","Tue, 18 Apr 2023 14:09:43 GMT",https://www.cnn.com/videos/us/2023/04/18/jeremy-renner-snowplow-accident-bodycam-nc-melas-contd-vpx.cnn,Others
Jake Gyllenhaal and Jamie Lee Curtis spent the Covid-19 lockdown together,It's sourdough bread and handstands for Jake Gyllenhaal and Jamie Lee Curtis.,"Tue, 18 Apr 2023 14:40:32 GMT",https://www.cnn.com/2023/04/18/entertainment/jake-gyllenhaal-jamie-lee-curtis-pandemic-living/index.html,Others
"Toddler crawls through White House fence, prompts Secret Service response","A tiny intruder infiltrated White House grounds Tuesday, prompting a swift response from the US Secret Service.","Tue, 18 Apr 2023 17:38:16 GMT",https://www.cnn.com/2023/04/18/politics/white-house-toddler/index.html,Others
Jamie Foxx remains hospitalized nearly a week after 'medical complication',"Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a ""medical complication,"" a source with knowledge of the matter told CNN on Monday.","Tue, 18 Apr 2023 00:27:07 GMT",https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html,Others
A 13-year-old dies after participating in a Benadryl TikTok 'challenge',"A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.","Wed, 19 Apr 2023 15:01:06 GMT",https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html,Others
See pizza delivery guy take out suspect fleeing police,"Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.","Tue, 18 Apr 2023 16:40:22 GMT",https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn,Others
Netflix is winding down its DVD business after 25 years,Netflix is officially winding down the business that helped make it a household name.,"Tue, 18 Apr 2023 20:10:51 GMT",https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html,Others
FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams,"Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.","Tue, 18 Apr 2023 17:59:38 GMT",https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html,Others
"Eating too much of these foods is driving the rise in type 2 diabetes, study says","Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.","Mon, 17 Apr 2023 16:02:46 GMT",https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html,Others
ADHD medication abuse in schools is a 'wake-up call',"At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.","Tue, 25 Apr 2023 17:44:36 GMT",https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html,Others
Apple CEO was presented with an original Macintosh. See his reaction,CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.,"Tue, 18 Apr 2023 09:17:25 GMT",https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn,Others
Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear,"Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.","Tue, 18 Apr 2023 20:29:46 GMT",https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html,Others
"Russia is 'going backwards' in equipment and deploying post WWII-era tanks, according to Western officials",• Jailed Wall Street Journal reporter Evan Gershkovich denied detention appeal in Moscow • Putin visits Russian troops at military headquarters in Kherson • Watch moment WSJ journalist appears in Russian court,,https://www.cnn.com/europe/live-news/russia-ukraine-war-news-04-18-23/index.html,Others
Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine,Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.,"Tue, 18 Apr 2023 19:07:52 GMT",https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,Others
'My stomach is hurting from laughing': Hear panelist's reaction to DeSantis' threat to Disney,CNN panelists react to Florida Gov. Ron DeSantis floating the idea of building a competing theme park next to Disney World in Orlando.,"Tue, 18 Apr 2023 03:24:56 GMT",https://www.cnn.com/videos/business/2023/04/18/desantis-disney-competition-panel-reax-pt-vpx.cnn,Others
GOP prepared to block vote to replace Feinstein on Senate Judiciary,"Senate Majority Leader Chuck Schumer said on Tuesday that he hopes to replace Democratic Sen. Dianne Feinstein on the Senate Judiciary Committee with Sen. Ben Cardin of Maryland and aims to set up a floor vote on the issue this afternoon, which Republicans are expected to block.","Tue, 18 Apr 2023 22:03:13 GMT",https://www.cnn.com/2023/04/18/politics/schumer-senate-feinstein-vote-cardin/index.html,Others
Oklahoma governor calls on officials to resign over recording of racist and threatening remarks,,"Tue, 18 Apr 2023 17:33:17 GMT",https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,Others
McCarthy slams Biden in handling of US debt,House Speaker Kevin McCarthy traveled to Wall Street on Monday to deliver a fresh warning that the House GOP majority will refuse to lift a cap on government borrowing unless Biden agrees to spending cuts that would effectively neutralize his domestic agenda.,"Tue, 18 Apr 2023 22:03:01 GMT",https://www.cnn.com/videos/politics/2023/04/18/kevin-mccarthy-wall-street-speech-debt-ceiling-biden-economy-vpx.cnn,Others
US warns Russia not to touch American nuclear technology at Ukrainian nuclear plant,"The US has sensitive nuclear technology at a nuclear power plant inside Ukraine and is warning Russia not to touch it, according to a letter the US Department of Energy sent to Russia's state-owned nuclear energy firm Rosatom last month.","Wed, 19 Apr 2023 08:35:33 GMT",https://www.cnn.com/2023/04/18/politics/us-warns-russia-zaporizhzhia-nuclear-plant/index.html,Others
Repeated gunshots fired on live TV as ex-lawmaker shot by assassins,"Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.","Tue, 18 Apr 2023 09:41:42 GMT",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,Others
FDA clears the way for additional bivalent boosters for certain vulnerable individuals,"The U.S. Food and Drug Administration amended the terms of its emergency use authorizations for the Pfizer and Moderna bivalent vaccines on Tuesday, allowing people ages 65 and older and certain people with weakened immunity to get additional doses before this fall's vaccination campaigns.","Tue, 18 Apr 2023 15:09:15 GMT",https://www.cnn.com/2023/04/18/health/fda-bivalent-booster-additional-doses/index.html,Others
Maine authorities detained a person of interest after 4 people were found dead in a home and 3 others shot while driving,"Maine authorities have detained a person of interest and continue to investigate after two shooting incidents that appear to be connected left at least four people dead and three others injured, state police said.","Wed, 19 Apr 2023 01:49:51 GMT",https://www.cnn.com/2023/04/18/us/maine-shooting-bowdoin-yarmouth/index.html,Others
Southwest says flights resumed after delays caused by 'tech issues',• Delta Air Lines reports record bookings for summer travel • Air France and Airbus acquitted in trial over 2009 plane crash,"Tue, 18 Apr 2023 17:15:29 GMT",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,Others
Damar Hamlin cleared to resume football activities after January cardiac arrest,"Buffalo Bills safety Damar Hamlin, who has been cleared to resume football activities, said Tuesday his cardiac arrest during an NFL game in January was caused by commotio cordis.","Tue, 18 Apr 2023 22:11:37 GMT",https://www.cnn.com/2023/04/18/sport/damar-hamlin-cleared-to-train-nfl-spt-intl/index.html,Others
Pilot makes history after landing on top of a 56-story hotel,Polish pilot Lukasz Czepiela made history after landing a plane on a helipad at the top of a 56-story hotel in Dubai.,"Sun, 19 Mar 2023 11:22:30 GMT",https://www.cnn.com/videos/travel/2023/03/17/pilot-lands-on-dubai-helipad-cprog-orig-aw-ao.cnn,Others
Top US Navy admiral defends non-binary sailor amid some Republican criticism,"The top US Navy admiral ardently defended a non-binary sailor on Tuesday amid some criticism from Republican lawmakers, saying he is ""particularly proud of this sailor.""","Tue, 18 Apr 2023 19:56:40 GMT",https://www.cnn.com/2023/04/18/politics/gilday-defends-non-binary-sailor/index.html,Others
Fulton County DA says fake Trump electors are incriminating one another and wants lawyer disqualified,"The Fulton County District Attorney's office said some fake electors for Donald Trump have implicated each other in potential criminal activity and is seeking to disqualify their lawyer, according to a new court filing.","Wed, 19 Apr 2023 15:31:24 GMT",https://www.cnn.com/2023/04/18/politics/fulton-county-trump-fake-electors/index.html,Others
High speed trains are racing across the world. But not in America,High speed trains have proved their worth across the world over the past 50 years.,"Wed, 19 Apr 2023 02:39:40 GMT",https://www.cnn.com/travel/article/high-speed-rail-us/index.html,Others
Podcast: One country musician is calling for other artists to oppose assault rifles,,,https://www.cnn.com/audio/podcasts/the-assignment/episodes/42a2f0e2-066a-4675-82ff-afe2016a0bb5,Others
Here's what you need to know if you haven't filed your return yet — and even if you have,"It's April 18, the official deadline to file your federal and state income tax returns for 2022. (It is also, apparently, National Animal Crackers Day for those who celebrate.)","Tue, 18 Apr 2023 14:15:43 GMT",https://www.cnn.com/2023/04/18/success/tax-day-2023-file-irs/index.html,Others
"Undocumented immigrants are paying their taxes today, too",It's a surprising fact that's often overlooked in the immigration debate.,"Tue, 18 Apr 2023 18:29:24 GMT",https://www.cnn.com/2023/04/18/us/undocumented-immigrants-taxes-cec/index.html,Others
Opinion: Why millionaires like us want to pay more in taxes,"Tuesday is Tax Day in America, one of the most stressful days of the year, when many taxpayers will finally end their procrastination, file their federal returns, and hope for a refund from the IRS. But for many of the nation's wealthiest, it's just another Tuesday.","Mon, 17 Apr 2023 19:32:49 GMT",https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,Others
'World's longest' purpose-built cycling tunnel opens in Norway,"There are many ways to explore the seven mountains that surround the picturesque UNESCO World Heritage city of Bergen on Norway's fjord-studded west coast. The newest, however, might well be record-breaking.","Tue, 18 Apr 2023 10:44:27 GMT",https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html,Others
Artist rejects photo prize after AI-generated image wins award,A German artist has rejected an award from a prestigious international photography competition after revealing that his submission was generated by Artificial Intelligence (AI).,"Tue, 18 Apr 2023 15:27:54 GMT",https://www.cnn.com/style/article/ai-photo-win-sony-scli-intl/index.html,Others
These ships disappeared in Lake Superior a century ago. Watch as they're found again,"The Great Lakes Shipwreck Historical Society has found two of three ships that sank in the same Lake Superior storm more than a century ago, locating one in 2021 and the other in 2022.","Tue, 18 Apr 2023 19:29:01 GMT",https://www.cnn.com/videos/travel/2023/04/18/century-old-shipwrecks-lake-superior-discovery-contd-orig-zt.cnn,Others
Erotic images of seniors show sex and intimacy in new light,"What does intimacy look like for seniors? There's no end to sex scenes and other steamy content featuring the young and unwrinkled, but past a certain age, popular culture largely draws a blank — or treats sex as a punchline.","Tue, 18 Apr 2023 03:24:57 GMT",https://www.cnn.com/style/article/marilyn-minter-artist-elder-sex/index.html,Others
"China's economy is off to a solid start, rising 4.5% in Q1 2023",China's economy is off to a solid start in 2023 following its emergence from three years of strict pandemic restrictions.,"Tue, 18 Apr 2023 07:01:12 GMT",https://www.cnn.com/2023/04/17/economy/china-gdp-q1-2023-intl-hnk/index.html,Others
"Even when wives make as much as husbands, they still do more at home",• Four out of the five US metro areas with the lowest unemployment are in Florida. Here's why • Opinion: The overlooked problem with raising the retirement age for Social Security,"Sun, 16 Apr 2023 17:29:49 GMT",https://www.cnn.com/2023/04/16/success/husbands-wives-earning-division-of-labor-pew-survey/index.html,Others
McDonald's is upgrading its burgers,"McDonald's, which has been focusing on upgrading its core items to boost sales, is rolling out a series of changes designed to improve its signature burgers.","Mon, 17 Apr 2023 16:31:30 GMT",https://www.cnn.com/2023/04/17/business/mcdonalds-burgers/index.html,Others
Google-parent stock drops on fears it could lose search market share to AI-powered rivals,"Shares of Google-parent Alphabet fell more than 3% in early trading Monday after a report sparked concerns that its core search engine could lose market share to AI-powered rivals, including Microsoft's Bing.","Mon, 17 Apr 2023 15:52:19 GMT",https://www.cnn.com/2023/04/17/tech/google-ai-search-engine-stock-drop/index.html,Others
Bidets save you money and reduce waste — we tested the best options out there,,,https://www.cnn.com/cnn-underscored/reviews/best-bidets?iid=CNNUnderscoredHPcontainer,Others
50+ products to make your life easier and our planet cleaner,,,https://www.cnn.com/cnn-underscored/home/editors-favorite-sustainable-products?iid=CNNUnderscoredHPcontainer,Others
Mother's Day is around the corner. Here are 50+ thoughtful gifts she'll love,,,https://www.cnn.com/cnn-underscored/gifts/best-mothers-day-gifts-2023?iid=CNNUnderscoredHPcontainer,Others
"A head-to-toe guide of how men should dress this spring, and where they should shop",,,https://www.cnn.com/cnn-underscored/fashion/mens-spring-fashion-style-guide?iid=CNNUnderscoredHPcontainer,Others
42 of the most useful travel products you can buy on Amazon,,,https://www.cnn.com/cnn-underscored/travel/amazon-travel-products?iid=CNNUnderscoredHPcontainer,Others
The 7 best high-yield savings accounts of April 2023,,,https://www.cnn.com/cnn-underscored/money/high-yield-savings-accounts?iid=CNNUnderscoredHPcontainer,Others
Taxes are due tomorrow. Here's how to file for an extension,,,https://www.cnn.com/cnn-underscored/money/how-to-file-taxes?iid=CNNUnderscoredHPcontainer,Others
Composting is an easy way to reduce food waste. Here's how to do it,,,https://www.cnn.com/cnn-underscored/home/how-to-compost-at-home?iid=CNNUnderscoredHPcontainer,Others
We stopped using aluminum foil for cooking and you should too. Here's what to use instead,,,https://www.cnn.com/cnn-underscored/reviews/mmmat-silicone-mats?iid=CNNUnderscoredHPcontainer,Others
The beloved Dyson Supersonic hair dryer is at its lowest price ever,,,https://www.cnn.com/cnn-underscored/deals/dyson-supersonic-sale-2023-04-17?iid=CNNUnderscoredHPcontainer?iid=CNNUnderscoredHPcontainer,Others
"Everything you need to know about Way Day 2023, Wayfair's biggest sale of the year",,,https://www.cnn.com/cnn-underscored/deals/wayfair-way-day-2023-04-17?iid=CNNUnderscoredHPcontainer,Others
The 10 best Amazon deals to shop this week,,,https://www.cnn.com/cnn-underscored/deals/best-amazon-deals-2023-04-12?iid=CNNUnderscoredHPcontainer,Others
Mifepristone saved my life,"The ruling earlier this month by a Texas federal judge to suspend the US Food and Drug Administration's approval of a drug that is used frequently for medication abortions, is very personal for me.","Tue, 18 Apr 2023 11:30:00 GMT",https://www.cnn.com/2023/04/18/opinions/medication-abortion-mifepristone-miscarriage-jones-ctpr/index.html,Others
The 2024 presidential alternative many voters will want,,,https://www.cnn.com/2023/04/18/opinions/2024-presidential-election-alternative-voters-lieberman,Others
Why isn't the House Judiciary Committee looking into Thomas?,"On Monday, the GOP-controlled House Judiciary Committee — chaired by Donald Trump ally Rep. Jim Jordan — is set to hold a field hearing in New York City called ""Victims of Violent Crime in Manhattan."" A statement bills the hearing as an examination of how, the Judiciary Committee says, Manhattan District Attorney Alvin Bragg's policies have ""led to an increase in violent crime and a dangerous community for New York City residents.""","Mon, 17 Apr 2023 11:37:37 GMT",https://www.cnn.com/2023/04/17/opinions/jim-jordan-clarence-thomas-judiciary-committee-obeidallah/index.html,Others
Top secrets come spilling out,"In 1917, British analysts deciphered a coded message the German foreign minister sent to one of his country's diplomats vowing to begin ""unrestricted submarine warfare"" and seeking to win over Mexico with a promise to ""reconquer the lost territory in Texas, New Mexico and Arizona"" if the US entered the world war. When it became public, the Zimmerman Telegram caused a sensation, helping propel the US into the conflict against Germany.","Sun, 16 Apr 2023 11:22:36 GMT",https://www.cnn.com/2023/04/16/opinions/top-secrets-come-spilling-out-opinion-column-galant/index.html,Terrorism
How did Sudan go from casting off despotic rule to this?,"Four years ago, almost to the day, the people of Sudan were celebrating a revolution after overthrowing longtime dictator Omar al-Bashir. Now the East African country faces the possibility of a complete collapse similar to the chaos we see today in Yemen or Libya.","Mon, 17 Apr 2023 22:45:23 GMT",https://www.cnn.com/2023/04/17/opinions/sudan-revolution-to-civil-war-lynch/index.html,Others
Michelle Yeoh set to return in new 'Star Trek' movie,"Live long and prosper, Michelle Yeoh.","Tue, 18 Apr 2023 19:11:23 GMT",https://www.cnn.com/2023/04/18/entertainment/michelle-yeoh-star-trek-section-31/index.html,Others
Recap: 'Succession' finds dark humor in the aftershocks,"After the shock came the aftershocks, the power vacuum, and perhaps most significantly and impressively, the laughs, as ""Succession"" pivoted to face life after Logan Roy, in an episode that finally put the HBO show's title into full flower.","Mon, 17 Apr 2023 02:28:12 GMT",https://www.cnn.com/2023/04/16/entertainment/succession-season-4-episode-4-recap/index.html,Others
"'Yellowjackets' leans hard into '90s music nostalgia, and we're here for it","Of the many dark gifts Showtime's eerie hit series ""Yellowjackets"" serves up for us, the juiciest this season is by far the music.","Mon, 01 May 2023 23:02:04 GMT",https://www.cnn.com/2023/04/14/entertainment/yellowjackets-90s-music/index.html,Others
Jeremy Renner revisits 'the amazing group of people' who helped him recover from his accident,"Jeremy Renner is continuing his recovery after his devastating snowplow accident in January, and recognizing those who've helped him along the way.","Sun, 16 Apr 2023 19:04:10 GMT",https://www.cnn.com/2023/04/16/entertainment/jeremy-renner-update/index.html,Others
Review: 'Barry' takes a whack at its farewell season,"""Barry"" has taken chances from the very beginning, which is certainly true of a fourth and final season that picks up where the third left off, with its hitman-turned-wannabe actor getting arrested. That paves the way for an even darker season that accentuates the show's ensemble aspect while leaning a little too heavily on blurring lines with flights of fancy.","Fri, 14 Apr 2023 12:33:08 GMT",https://www.cnn.com/2023/04/14/entertainment/barry-season-4-review/index.html,Others
Haley takes aim at 'confused' Trump's mental state in video railing against New York court proceedings,"Nikki Haley suggested Donald Trump was 'confused' in a recent video of him railing against E. Jean Carroll, but Trump's campaign hit back, claiming she was trying to ""gaslight"" voters.","Fri, 26 Jan 2024 14:44:10 -0500",https://www.foxnews.com/politics/haley-takes-aim-confused-trump-mental-state-video-railing-new-york-court-proceedings,Others
